id,name,url,email
58657,Montreal Barbarians RFC,http://www.montrealbarbarians.ca,president@montrealbarbarians.ca
58658,Montreal Wanderers RFC,http://www.montrealwanderers.ca/,montrealwanderersrfc@gmail.com
58659,Westmount Rugby Club,http://www.westmountrugby.com,westmountrugby.treasurer@gmail.com
58854,Beaconsfield RFC,http://www.brfc.ca,jenniferoreilly75@gmail.com
58855,Abénakis de Sherbrooke,https://rugbysherbrooke.com/,president@abenakisrugby.com
58856,Barracudas St-Jean,http://www.barracudasrugby.com,barracudasrugby@outlook.com
58857,Braves de Trois-Rivières,http://,rugbybraves@gmail.com
58858,Brome Lake Ducks,http://,bromelakeducks@hotmail.com
58859,Club de Rugby des Gaulois,http://www.clubrugbygaulois.com,info@clubrugbygaulois.com
58860,Club de Rugby de Québec,http://www.crq-rugby.ca,operation@crq-rugby.ca
58861,Nomades de Laval,https://www.rugbynomadeslaval.com/,rugby.nomades.laval@gmail.com
58862,Club de rugby Sainte-Anne de Bellevue,https://www.sabrfc.com/,sabrfc.president@gmail.com
58863,Gladiateurs Outaouais,http://gladiateurs.ca,glads.exec@gmail.com
58865,NDG Dragons Rugby,https://ndgrugby.com,ndgrugbyclub@gmail.com
58866,Montreal Irish RFC,http://www.montrealirish.com,president@montrealirish.com
58867,Mont-Tremblant RFC,http://,rugby.tremblant@hotmail.com
58868,Parc Olympique,http://www.rugbyparco.com,parc.olympique.rugby@gmail.com
58869,Ormstown Saracens RFC,http://www.saracens.ca,president.ormstownsaracens.rfc@gmail.com
58870,Rugby Club de Montréal,http://www.rugbyclubmontreal.com,aminsharmila.as@gmail.com
58871,St-Lambert Locks RFC,http://,tristan.rheaume.jones@gmail.com
58872,Town of Mount Royal RFC,https://rugbycanada.sportsmanager.ie/sportlomo/registration/member-registration/club/227,president@tmrrugby.com
58873,XV de Montréal,http://www.xvdemontreal.com,xvdemontreal@gmail.com
58953,Armada,http://armadamontreal.com,president.armada19@gmail.com
58954,Celtics-Association Rugby Junior Rive Sud,https://www.arjrs.com/,edouard_strew@hotmail.com
58955,St-Georges Lumberjacks,http://,stgeorges.lumberjacks@gmail.com
58957,Rabaska de Victoriaville,https://www.rugbyrabaska.ca/,rugbyrabaskavicto@gmail.com
61714,Lévis Rugby Club,https://rugbycanada.sportlomo.com/,rugbylevis@gmail.com
62071,Rugby Québec,http://www.rugbyquebec.com,adjointe.rugbyquebec@gmail.com
66291,Ulérions,https://www.facebook.com/rugbyUlerions,ulerions@asso.ulaval.ca
78557,Club de rugby de Rimouski,https://www.rugbyrimouski.ca,rugbyclubrimouski@gmail.com
83076,Rugby Châteauguay,https://www.facebook.com/rugbychateauguay,rugbychateauguay@gmail.com
84171,Rugby Club de Matane,https://www.facebook.com/RCMatane,rugbymatane@gmail.com
84174,Lions de Valcartier,https://www.facebook.com/groups/2580360262272364/,max.grenier44@outlook.com
91830,The MOB RFC,mailto:themobrfc@gmail.com,
91022,Association Régionale Rugby Sud-ouest,mailto:Rugbyarsso@gmail.com,
92524,Montréal Phénix Rugby,mailto:nicolas.ulian@force-s.com,
58956,Académie Rouge et Or,http://www.rougeetor.ulaval.ca/sports/rugby/academiederugby/,kevin.rouet@sas.ulaval.ca
90651,Rugby Club Ottawa,https://www.ottawarugbyclub.ca,info@ottawarugbyclub.ca
